ddpm_train_batch: [nan, 0.0180594787240445, 0.47105255836887716, 0.562765862021355, 1.1485944256646057, 1.4219482759918, 2.1221811717247996, 2.5044636553012327, 2.724667052134524, 2.8386357944713714, 2.6808446346261605, 3.454505842995579, 4.789885879204056]
ddpm_train_batch: [nan, -0.23244950391089927, -0.11286030971225387, 0.30640436484847317, 1.019921227975335, 1.487834561236466, 1.7125703794219087, 1.570755856442087, 1.880264295997658, 1.9723763239833725, 1.9614779211703743, 3.4072646388245533, 5.108092790240972]
SNGAN_train_batch: [nan, -1.397739110309269, 0.15756225771300225, 0.637806664690978, 0.843806231440461, 1.3038736932963362, 2.158124022573942, 2.70259457658193, 2.702353027121701, 3.1202413421763904, 3.3308299573366256, 4.110076968090286, 4.5193273262751]
SNGAN_train_batch: [nan, -0.296320341416789, 0.25093796144149366, 1.2089381556498484, 1.907202363442161, 1.8343254380723584, 2.061143840171737, 2.533033407118953, 2.623363067405257, 2.662096648323071, 2.9316931138653937, 4.109488927020888, 5.420324163307676]
ddim_train_batch: [nan, -0.9965324453626784, 0.10909990963233629, 1.4062287969610998, 1.4698323742728314, 2.036764255166988, 2.4229042936484353, 2.7721461865624732, 2.979056157318411, 2.9590797503139363, 3.1292547861065674, 3.5330127104754876, 4.395304395178099]
ddim_train_batch: [nan, -1.444355122555588, -0.29082833593242663, 1.0999538517632004, 1.1312468521351235, 1.911910354072099, 1.9698069816839539, 2.3223991718294825, 2.6588782484584415, 2.677991517806791, 2.5898036482350713, 3.9115859150659484, 5.379756265560378]
BigGAN_train_batch: [nan, -0.8398153568853352, 0.6437402997094025, 0.8070371011226808, 1.368717981788816, 1.0088124244434102, 0.8239074215408518, 1.3120306686018335, 1.2766354149171955, 1.5647979151328342, 1.779951964170817, 2.767765949312127, 3.2844518995965872]
BigGAN_train_batch: [nan, -0.9027804027159462, 0.11629873786701295, 0.7448238774424937, 1.1105987464797271, 1.0075808661591406, 1.255094634830552, 1.5590480745560111, 1.634321837928029, 2.161111763236641, 2.3402164371752656, 3.094105146552378, 2.7434389409123425]
ContraGAN_train_batch: [nan, -0.8867967042862404, -0.22863062562798805, 0.167665871999919, 0.5164988231295523, 0.5798621227446514, 0.6937001142445206, 1.1882274305956788, 1.2375828756270661, 1.6303027889155277, 1.5634055528108426, 2.5586239333458227, 2.4905805963473098]
ContraGAN_train_batch: [nan, -1.3126164250599315, -0.4672362705557387, 0.41218930661923464, 0.4098136107944957, 0.48975509146112733, 0.11577757782224443, 0.5794640657574138, 0.6137773614028343, 1.0814782397508962, 1.4168528371603601, 2.712322997583264, 1.89650612385982]
pndm_train_batch: [nan, -0.6785215706268456, -0.462633377016771, 1.2702798014591452, 1.6893892411441804, 1.8460445978271194, 1.7327665877962195, 2.035777304996714, 2.2345128639629754, 2.4071896075200074, 2.536771053778545, 3.6220152008461266, 4.100476393323162]
pndm_train_batch: [nan, -0.8289597712791897, 0.5082465085148056, 2.151387043469752, 2.2092540914715966, 2.6552560262081517, 2.4530590525544507, 3.049861325139817, 2.743486132265831, 2.781865168158305, 2.749416396596048, 3.340186301228313, 3.8554352031674233]
ddpm_test_batch: [nan, -0.4717126906240331, 0.25411722480037674, 0.7208016557733988, 1.008747721883893, 1.237215753721619, 1.707895804658214, 2.014191306693541, 2.1609074996629487, 2.1124246975721506, 2.0104439319917407, 2.9008837349747605, 4.337971878571665]
SNGAN_test_batch: [nan, 0.7401800399175485, 1.280653348932184, 1.1648660482110773, 2.107371644901201, 2.4707570720310525, 2.3973554499761383, 3.075185232654651, 3.277835021857423, 3.3429824220573554, 3.5160493658305754, 4.234050616490956, 4.537705870092978]
ddim_test_batch: [nan, -1.3186415541017, 0.009029228408009515, 1.2938682506938095, 1.3257300738166704, 1.658097002614483, 1.8223469235953695, 2.081840881123684, 2.3115123191778855, 2.3814206707459795, 2.551895237618235, 3.5152399998568016, 4.811689616596096]
